"Var","Location","Val","Month","Year"
"Temperature","Edmonton, Alberta",3.6,"Apr",1970
"Temperature","Edmonton, Alberta",10.8,"May",1970
"Temperature","Edmonton, Alberta",17.4,"Jun",1970
"Temperature","Edmonton, Alberta",17.1,"Jul",1970
"Temperature","Edmonton, Alberta",15.8,"Aug",1970
"Temperature","Edmonton, Alberta",9.8,"Sep",1970
"Temperature","Edmonton, Alberta",3,"Oct",1970
"Temperature","Edmonton, Alberta",-9,"Nov",1970
"Temperature","Edmonton, Alberta",-17.9,"Dec",1970
"Temperature","Edmonton, Alberta",-20.4,"Jan",1971
"Temperature","Edmonton, Alberta",-9.7,"Feb",1971
"Temperature","Edmonton, Alberta",-8.5,"Mar",1971
"Temperature","Edmonton, Alberta",3.8,"Apr",1971
"Temperature","Edmonton, Alberta",12.8,"May",1971
"Temperature","Edmonton, Alberta",14.2,"Jun",1971
"Temperature","Edmonton, Alberta",15.7,"Jul",1971
"Temperature","Edmonton, Alberta",17.9,"Aug",1971
"Temperature","Edmonton, Alberta",9.2,"Sep",1971
"Temperature","Edmonton, Alberta",4.1,"Oct",1971
"Temperature","Edmonton, Alberta",-4.8,"Nov",1971
"Temperature","Edmonton, Alberta",-17.7,"Dec",1971
"Temperature","Edmonton, Alberta",-20.3,"Jan",1972
"Temperature","Edmonton, Alberta",-17.1,"Feb",1972
"Temperature","Edmonton, Alberta",-5.8,"Mar",1972
"Temperature","Edmonton, Alberta",3.1,"Apr",1972
"Temperature","Edmonton, Alberta",11.7,"May",1972
"Temperature","Edmonton, Alberta",15.2,"Jun",1972
"Temperature","Edmonton, Alberta",14.1,"Jul",1972
"Temperature","Edmonton, Alberta",16.9,"Aug",1972
"Temperature","Edmonton, Alberta",6.1,"Sep",1972
"Temperature","Edmonton, Alberta",3.2,"Oct",1972
"Temperature","Edmonton, Alberta",-4.6,"Nov",1972
"Temperature","Edmonton, Alberta",-16.6,"Dec",1972
"Temperature","Edmonton, Alberta",-13,"Jan",1973
"Temperature","Edmonton, Alberta",-11.4,"Feb",1973
"Temperature","Edmonton, Alberta",-2.5,"Mar",1973
"Temperature","Edmonton, Alberta",3.1,"Apr",1973
"Temperature","Edmonton, Alberta",11.8,"May",1973
"Temperature","Edmonton, Alberta",14.6,"Jun",1973
"Temperature","Edmonton, Alberta",16.3,"Jul",1973
"Temperature","Edmonton, Alberta",15.1,"Aug",1973
"Temperature","Edmonton, Alberta",10.4,"Sep",1973
"Temperature","Edmonton, Alberta",4.2,"Oct",1973
"Temperature","Edmonton, Alberta",-12.2,"Nov",1973
"Temperature","Edmonton, Alberta",-13.3,"Dec",1973
"Temperature","Edmonton, Alberta",-19.7,"Jan",1974
"Temperature","Edmonton, Alberta",-10.8,"Feb",1974
"Temperature","Edmonton, Alberta",-10.6,"Mar",1974
"Temperature","Edmonton, Alberta",3.4,"Apr",1974
"Temperature","Edmonton, Alberta",8.5,"May",1974
"Temperature","Edmonton, Alberta",15.1,"Jun",1974
"Temperature","Edmonton, Alberta",15.7,"Jul",1974
